id_item,id_requerido
1905,6810
9507,1299
8267,152
3594,183
4215,4927
39,7708
2515,5777
2893,364
4528,5521
1391,1133
4788,9654
6685,3526
3713,5035
2322,3388
5478,4671
291,9585
3409,2606
5276,7181
3359,7553
3455,1907
8483,7292
9340,6480
8274,2911
989,5227
2898,5900
7113,8366
9744,1249
2423,9720
8983,7692
7391,5350
9835,7763
936,7332
3948,4602
4782,3361
6721,9887
6540,8844
9064,9510
8387,485
554,8153
4866,8913
4071,4769
9972,8910
4273,1009
6827,605
2845,2916
6147,263
2067,6840
6037,9270
8682,2951
193,6597
5046,4681
9824,2551
1593,9186
1835,9580
4709,1348
8710,7670
5628,1889
5088,4883
868,3610
9620,2440
3472,6759
2519,8554
4118,7812
4142,7223
4586,663
6886,975
8680,4649
574,5558
4908,7234
4140,3559
109,230
8165,362
1044,8549
1148,1286
483,9369
2005,3327
1769,5837
3479,1687
6593,4541
543,8759
8603,9842
3266,7666
6067,7647
121,8854
3659,2449
21,7363
1655,5584
4479,2617
5351,555
1530,2009
7453,6502
1891,5699
1159,693
3335,5624
5515,3907
9890,150
4188,9095
4260,2584
594,5534
7659,5892
