id_item_a,id_item_b
1,798
1,4287
2,620
2,8396
2,9802
3,3353
3,7173
3,9015
4,2885
4,9134
5,6374
6,5671
7,1266
8,5992
9,3671
10,5785
10,7956
11,1562
12,2964
12,4384
13,1018
13,3485
14,8047
15,227
15,1978
15,6503
16,8095
17,2040
17,5587
17,9732
18,4545
19,8014
20,2466
20,5174
20,5634
20,7262
21,6487
21,8585
22,3204
23,1966
23,3005
23,5950
23,7898
25,1127
25,2399
26,1264
26,7097
27,6614
28,3730
28,8889
30,3828
30,5721
31,9213
32,7076
32,9267
33,1665
33,5520
33,6811
33,6840
34,5297
35,343
35,7194
35,8081
35,9316
36,4914
37,7518
37,8890
38,1009
38,4340
41,4893
41,8882
42,9468
43,5189
43,6970
44,131
44,3310
44,5629
44,7498
45,2148
45,4910
46,696
46,2027
46,8473
47,1326
47,2095
47,5805
47,7949
47,9657
48,393
48,1795
50,2353
50,8353
50,9292
54,1321
54,2875
54,3469
54,6906
55,7206
56,4971
57,1475
57,4385
57,7533
57,9851
58,7977
58,9354
59,2962
59,3141
59,8262
60,5860
60,6549
61,433
61,2017
61,2826
61,5762
62,1922
62,2178
62,6398
63,6858
65,5816
66,871
66,5655
66,6822
69,4857
69,7901
69,8680
70,3333
70,5070
70,5878
71,5604
72,2130
73,499
73,9351
74,3864
75,7453
75,8649
77,2438
77,9428
77,9918
78,6975
80,1028
80,2324
80,7641
81,4444
82,2579
83,2016
83,6523
83,6754
84,5932
84,8730
85,1078
85,4384
86,3654
86,3664
87,1787
87,7694
87,9154
88,5206
89,3895
90,5470
91,374
91,4473
91,5997
91,7608
92,6531
93,1467
93,7955
93,9881
94,1237
94,5635
95,4201
96,1414
96,1535
96,2732
96,9131
96,9270
97,4665
98,1841
98,4528
98,8630
99,2763
99,4583
99,5820
99,7774
100,3200
100,4439
100,7557
102,3828
102,7118
102,7300
102,7462
103,2539
103,4451
103,6405
104,6046
104,7312
104,8028
107,7570
108,2423
108,2576
108,4569
109,6350
109,8303
110,1309
110,1863
110,6433
110,8802
111,2533
111,2776
111,3495
112,2096
112,2676
113,689
113,2585
113,4634
113,5484
113,7184
114,2329
114,3449
115,943
116,410
116,2028
116,4807
117,742
118,171
118,9822
119,7896
119,8857
120,741
120,1037
120,4852
120,5569
121,1329
121,3798
121,7251
122,283
122,3156
122,3224
124,8810
125,1756
127,2253
127,7527
127,9417
128,4492
129,874
129,953
130,2886
130,8595
130,9445
131,3584
131,5302
132,7412
132,7916
134,4627
134,6427
134,6551
135,323
135,3015
136,1147
136,3364
136,3845
136,5011
137,1223
137,9134
138,2663
138,3784
139,1759
139,3568
139,5270
139,7690
140,9987
144,3070
144,3904
144,4401
144,5354
144,5555
144,6018
144,7736
145,4180
145,5266
145,5381
145,7148
145,9182
146,3200
147,5796
147,9001
149,7774
149,9222
150,7712
150,8328
152,2132
152,4626
152,5079
153,1072
153,5382
153,8427
154,3259
154,5981
155,9251
156,2136
156,2599
157,3374
158,615
158,1341
158,2089
159,7065
160,7303
162,9899
163,2938
164,1020
164,7552
165,3504
165,9986
166,2524
167,1993
167,5176
168,339
168,1595
168,5626
169,8103
170,7246
170,8330
170,8441
171,798
172,6686
174,7238
175,8404
175,9028
175,9769
176,2266
176,8710
177,591
177,7253
177,8890
178,7076
180,873
181,3087
183,6021
183,8495
184,7268
185,3465
186,8673
187,5040
187,5391
187,5577
187,7460
188,6642
190,670
190,5499
190,5779
190,9248
191,467
191,8360
191,9653
192,3813
192,4514
192,6514
193,1005
193,1028
194,3102
194,4385
194,8745
195,490
195,1333
195,1397
195,3345
195,3846
195,7033
195,8112
196,6310
196,8998
197,1532
197,3639
197,5457
198,7983
198,8923
199,972
199,3193
199,9508
200,1850
200,3726
200,8036
200,8439
200,9567
201,7176
201,9531
203,7668
203,8954
203,9469
204,355
204,1357
204,4239
205,819
205,5251
206,2068
206,7173
206,8950
206,9500
207,3459
207,6852
209,537
209,4602
209,4797
210,2401
210,5735
210,6937
211,7057
212,2906
213,8534
214,1754
214,8000
215,6905
216,6901
216,8355
217,2408
217,3682
217,9090
218,3398
218,5036
219,3549
219,3852
219,5400
219,8420
220,1122
220,2742
220,5795
220,5895
220,9300
221,2231
221,5395
221,8023
222,1500
223,2917
223,9841
223,9941
224,828
224,1173
224,1526
224,1929
224,2828
225,2179
225,6509
225,6895
226,2194
227,4125
227,4187
229,3985
229,5339
229,6127
229,8290
230,606
230,3726
231,8487
232,2246
232,2687
232,8243
232,8311
232,8851
232,9178
233,4370
233,7097
234,558
234,3803
234,9841
236,4725
236,8876
237,2146
238,812
240,7781
241,9384
242,1153
242,2576
242,5533
243,2294
243,8210
243,9499
245,2754
245,4804
245,6944
246,8064
247,2451
247,6914
249,7482
250,881
250,4848
250,5679
250,9674
252,5490
252,6890
253,4526
253,5428
253,8919
253,9856
254,1086
255,1549
255,9181
256,264
256,4211
257,275
257,6074
257,9974
258,407
258,834
258,5676
258,9032
259,1038
259,9238
260,6082
261,1132
261,4776
262,273
262,6270
263,1794
263,3681
263,6159
263,7863
264,1003
267,736
267,4420
267,5105
268,5991
269,1491
269,5684
269,8555
269,9945
270,1908
270,4035
270,6189
271,2363
271,6170
272,7952
273,4728
273,6409
274,3280
274,7827
275,3532
275,5063
275,6845
276,983
276,6500
277,2564
277,7540
278,1242
278,3423
278,6471
280,420
280,5349
280,5613
282,976
282,4495
282,5061
282,9406
283,6222
284,350
285,6784
285,9340
287,1479
287,3582
287,5204
289,1466
289,2540
289,3925
289,4452
289,6609
289,8485
291,800
291,1017
291,2511
291,9089
292,2896
292,6305
293,9363
294,2657
295,4357
296,2912
296,9127
297,2091
297,5128
297,6383
300,5466
301,2468
301,4853
302,1837
303,807
304,9993
305,3074
305,3775
305,4561
305,7840
