id_item_a,id_item_b
1,14
1,26
1,54
1,102
1,108
1,117
1,119
1,147
1,149
1,190
1,257
1,311
1,327
1,386
1,415
1,452
1,550
1,554
1,591
1,624
1,631
1,663
1,671
1,854
1,992
2,52
2,53
2,153
2,503
2,510
2,569
2,576
2,656
2,676
2,704
2,757
2,863
2,902
2,921
2,926
2,963
2,986
2,994
3,6
3,16
3,21
3,192
3,255
3,275
3,295
3,331
3,370
3,384
3,434
3,598
3,610
3,637
3,682
3,741
3,938
3,942
3,985
4,43
4,65
4,104
4,260
4,331
4,339
4,341
4,384
4,424
4,491
4,594
4,624
4,687
4,725
4,746
4,802
4,854
4,889
4,912
4,913
4,953
5,140
5,170
5,236
5,324
5,460
5,526
5,674
5,917
5,944
5,965
5,968
6,48
6,110
6,143
6,153
6,228
6,247
6,363
6,434
6,453
6,487
6,505
6,519
6,595
6,620
6,632
6,644
6,668
6,671
6,683
6,762
6,855
6,859
6,862
6,893
7,73
7,193
7,217
7,295
7,326
7,358
7,398
7,406
7,416
7,463
7,469
7,555
7,561
7,592
7,626
7,637
7,692
7,713
7,883
7,974
8,50
8,176
8,290
8,344
8,370
8,469
8,498
8,506
8,615
8,677
8,690
8,705
8,751
8,820
8,884
8,934
8,998
9,13
9,35
9,118
9,242
9,259
9,380
9,413
9,440
9,518
9,564
9,600
9,634
9,721
9,739
9,741
9,743
9,765
9,799
9,833
9,872
9,898
9,902
9,928
9,946
9,991
10,15
10,32
10,36
10,74
10,153
10,186
10,221
10,228
10,322
10,426
10,473
10,540
10,574
10,575
10,599
10,725
10,732
10,737
10,768
10,778
10,785
10,797
10,836
10,997
10,999
11,66
11,80
11,83
11,112
11,205
11,234
11,305
11,325
11,341
11,384
11,503
11,519
11,528
11,614
11,679
11,755
11,798
11,827
11,912
11,936
11,943
11,956
11,971
12,40
12,134
12,141
12,179
12,224
12,232
12,236
12,264
12,307
12,366
12,374
12,410
12,415
12,420
12,560
12,695
12,782
12,798
12,827
12,835
12,938
12,955
12,981
13,50
13,87
13,93
13,168
13,248
13,294
13,442
13,468
13,545
13,568
13,583
13,616
13,662
13,667
13,687
13,724
13,836
13,838
13,845
13,858
14,30
14,43
14,119
14,171
14,213
14,287
14,366
14,377
14,388
14,440
14,467
14,532
14,559
14,567
14,580
14,597
14,623
14,742
14,749
14,875
14,954
15,18
15,25
15,39
15,45
15,141
15,145
15,156
15,197
15,199
15,212
15,221
15,242
15,284
15,335
15,347
15,417
15,476
15,567
15,599
15,626
15,645
15,702
15,708
15,910
15,982
16,96
16,215
16,233
16,251
16,262
16,302
16,372
16,374
16,386
16,490
16,538
16,544
16,555
16,704
16,719
16,720
16,734
16,737
16,803
16,804
16,847
16,857
16,899
16,944
16,987
17,43
17,53
17,77
17,152
17,181
17,287
17,385
17,401
17,472
17,524
17,580
17,613
17,644
17,744
17,832
17,933
17,975
17,983
18,124
18,312
18,333
18,338
18,394
18,429
