id_item_a,id_item_b
1,29
1,38
1,52
2,72
2,96
3,34
3,77
4,26
4,33
5,65
6,20
6,80
8,58
8,65
8,86
9,85
9,92
9,94
10,21
10,44
10,51
11,95
13,33
14,70
15,26
16,47
17,31
17,38
17,79
18,23
18,33
18,100
20,24
20,39
20,80
22,97
24,50
25,59
26,27
26,82
27,86
28,77
28,96
29,58
29,84
30,31
30,52
31,66
31,83
32,49
33,88
34,93
36,56
36,80
36,100
37,54
37,64
37,75
38,58
38,75
40,49
40,56
40,71
42,54
42,81
43,56
44,64
45,70
46,63
47,95
49,55
50,73
50,87
51,63
51,65
53,83
55,57
55,70
55,99
58,67
58,68
58,97
59,61
60,87
62,68
62,87
65,75
65,86
66,100
67,90
67,98
70,94
73,85
75,85
85,94
89,90
89,92
90,91
97,99
