id,valor,peso,volumen,categoria
1,381,80,96,1
2,735,78,60,3
3,164,45,16,1
4,67,46,87,2
5,605,15,71,4
6,30,6,97,4
7,834,94,22,1
8,190,100,19,4
9,311,62,53,1
10,438,3,30,3
11,616,40,14,1
12,299,98,37,2
13,461,10,79,4
14,207,39,52,5
15,597,47,5,5
16,612,69,18,3
17,74,2,95,5
18,966,57,81,2
19,311,2,10,2
20,688,25,45,4
21,130,61,50,5
22,44,18,91,2
23,266,19,67,4
24,318,43,53,2
25,551,57,19,1
26,970,85,78,3
27,941,40,90,5
28,602,73,93,2
29,97,58,20,3
30,54,97,33,5
31,395,75,28,3
32,831,59,36,5
33,288,61,55,2
34,149,30,81,1
35,83,2,99,3
36,775,40,20,2
37,15,2,82,1
38,710,72,73,4
39,774,61,8,5
40,365,66,12,5
41,865,86,63,3
42,337,10,7,2
43,318,67,33,4
44,733,60,64,2
45,889,57,48,2
46,128,98,72,5
47,763,73,57,2
48,774,26,50,1
49,528,72,43,1
50,35,44,11,2
51,41,90,64,3
52,321,57,51,4
53,909,14,25,4
54,416,54,76,2
55,236,95,8,3
56,297,70,17,5
57,931,63,81,2
58,637,11,88,3
59,806,22,19,3
60,894,89,54,2
61,810,13,90,2
62,325,91,12,2
63,235,65,43,1
64,820,36,87,2
65,16,17,52,3
66,423,49,23,4
67,128,27,34,2
68,944,17,33,2
69,524,56,71,3
70,370,7,98,2
71,963,25,26,4
72,502,72,31,1
73,292,100,4,2
74,614,98,51,3
75,61,4,28,2
76,910,64,24,4
77,153,54,49,3
78,986,56,25,3
79,676,9,77,2
80,245,25,73,5
81,374,48,64,5
82,637,40,54,5
83,99,80,84,1
84,327,51,19,4
85,50,86,60,2
86,681,23,2,4
87,517,81,23,2
88,649,10,18,5
89,694,40,39,3
90,938,84,14,4
91,347,74,12,2
92,926,55,88,4
93,265,23,66,1
94,819,99,56,3
95,534,27,25,5
96,102,97,90,3
97,902,89,64,1
98,345,28,35,4
99,729,85,90,5
100,889,41,78,5
